,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nuuk,64.1835,-51.7216,3.34,32,20,0.0,GL,1634582241
1,Mapiripán,2.8892,-72.1256,30.34,64,51,2.31,CO,1634582242
2,Acapulco de Juárez,16.8634,-99.8901,29.9,74,90,2.06,MX,1634582201
3,Flinders,-34.5833,150.8552,16.88,78,100,0.89,AU,1634582242
4,Cayenne,4.9333,-52.3333,30.02,79,40,2.68,GF,1634582242
5,Kruisfontein,-34.0033,24.7314,11.6,66,0,1.94,ZA,1634582243
6,Mataura,-46.1927,168.8643,6.47,99,100,2.07,NZ,1634582243
7,Puerto Ayora,-0.7393,-90.3518,25.98,80,79,4.42,EC,1634582243
8,Sitka,57.0531,-135.33,8.94,46,75,7.72,US,1634582244
9,Faanui,-16.4833,-151.75,26.56,79,98,6.89,PF,1634582244
10,Ushuaia,-54.8,-68.3,12.79,57,40,13.89,AR,1634582244
11,Port Elizabeth,-33.918,25.5701,13.16,82,20,0.0,ZA,1634582068
12,Atuona,-9.8,-139.0333,25.51,76,62,9.48,PF,1634582245
13,Vostok,46.4856,135.8833,-6.87,99,99,0.57,RU,1634582245
14,Sosnovo-Ozerskoye,52.5249,111.5418,-4.68,76,12,2.91,RU,1634582245
15,Mount Isa,-20.7333,139.5,22.87,43,53,0.51,AU,1634582246
16,Hobart,-42.8794,147.3294,8.92,86,90,1.79,AU,1634582246
17,Adrar,20.5022,-10.0711,31.65,11,100,3.64,MR,1634582247
18,Asmara,15.3333,38.9333,16.49,27,0,3.09,ER,1634582247
19,Chui,-33.6971,-53.4616,17.04,73,44,3.62,UY,1634582247
20,Anadyr,64.75,177.4833,0.28,93,90,16.99,RU,1634582248
21,Yulara,-25.2406,130.9889,23.91,23,94,2.06,AU,1634582248
22,Ahipara,-35.1667,173.1667,14.25,89,71,1.0,NZ,1634582248
23,Rikitea,-23.1203,-134.9692,23.96,71,6,8.22,PF,1634582249
24,Bredasdorp,-34.5322,20.0403,12.38,72,0,1.73,ZA,1634582067
25,Borba,-4.3878,-59.5939,30.8,52,63,1.55,BR,1634582249
26,Lebu,-37.6167,-73.65,13.8,70,0,8.4,CL,1634582250
27,Ulaangom,49.9811,92.0667,0.41,71,15,0.78,MN,1634582250
28,Livadiya,42.8692,132.6764,4.52,88,100,5.18,RU,1634582250
29,Parrita,9.5201,-84.3225,30.29,72,70,3.18,CR,1634581964
30,Port Alfred,-33.5906,26.891,14.13,65,0,1.73,ZA,1634582251
31,Chokurdakh,70.6333,147.9167,-25.66,100,97,2.16,RU,1634582251
32,Bajil,15.0584,43.2851,31.6,52,0,1.78,YE,1634582251
33,Saint Paul Harbor,57.79,-152.4072,7.73,76,90,9.26,US,1634582252
34,Charters Towers,-20.1,146.2667,20.35,83,0,2.22,AU,1634582252
35,Provideniya,64.3833,-173.3,-2.19,78,100,12.12,RU,1634582252
36,George Town,5.4112,100.3354,28.27,85,20,0.0,MY,1634581599
37,Mahébourg,-20.4081,57.7,23.47,78,75,5.66,MU,1634582253
38,Shellbrook,53.2168,-106.4011,9.57,56,35,8.31,CA,1634582253
39,Port Hardy,50.6996,-127.4199,7.1,87,75,4.12,CA,1634582254
40,Khatanga,71.9667,102.5,-1.17,98,100,4.19,RU,1634582254
41,Zyryanka,65.75,150.85,-15.19,91,87,4.29,RU,1634582255
42,Lompoc,34.6391,-120.4579,21.12,45,1,3.6,US,1634582255
43,Cape Town,-33.9258,18.4232,15.62,64,0,2.24,ZA,1634582213
44,Busselton,-33.65,115.3333,15.02,83,100,7.15,AU,1634582256
45,Muros,42.7762,-9.0603,21.03,86,35,2.89,ES,1634582256
46,Meulaboh,4.1363,96.1285,25.75,84,100,1.42,ID,1634582256
47,Saldanha,-33.0117,17.9442,15.03,74,3,9.11,ZA,1634582257
48,Coquimbo,-29.9533,-71.3436,15.85,72,40,7.2,CL,1634582257
49,Salta,-24.7859,-65.4117,19.16,52,75,3.6,AR,1634582001
50,Punta Arenas,-53.15,-70.9167,13.06,41,20,13.38,CL,1634582040
51,Carupano,10.6678,-63.2585,30.28,67,16,4.94,VE,1634582258
52,Vardø,70.3705,31.1107,1.99,69,75,10.8,NO,1634582258
53,Udachny,66.4167,112.4,-0.71,89,100,4.21,RU,1634582259
54,Barrow,71.2906,-156.7887,-8.99,67,90,4.12,US,1634582259
55,Lagoa,39.05,-27.9833,20.29,75,3,10.39,PT,1634582259
56,Trairi,-3.2778,-39.2689,29.04,64,11,6.34,BR,1634582156
57,Te Anau,-45.4167,167.7167,9.54,87,100,2.09,NZ,1634582260
58,Vaini,-21.2,-175.2,23.09,88,40,4.12,TO,1634582260
59,Antofagasta,-23.65,-70.4,19.56,54,28,4.04,CL,1634581993
60,Albany,42.6001,-73.9662,11.76,71,74,0.89,US,1634582151
61,San Patricio,28.017,-97.5169,27.23,47,0,4.37,US,1634582261
62,Bystryy Istok,52.371,84.3873,3.16,73,0,1.07,RU,1634582261
63,Mehrān,33.1222,46.1646,21.71,33,0,4.55,IR,1634582261
64,Chebarkul',54.9749,60.3633,9.21,47,100,4.43,RU,1634582262
65,Ponta do Sol,32.6667,-17.1,23.4,42,100,1.33,PT,1634582262
66,Arraial do Cabo,-22.9661,-42.0278,22.92,78,75,5.14,BR,1634582262
67,Mubi,10.2676,13.2644,25.56,73,87,1.85,NG,1634582263
68,Magadan,59.5667,150.8,-11.5,59,2,3.28,RU,1634582263
69,Balezino,57.9796,53.0106,7.26,93,100,3.97,RU,1634582264
70,Henties Bay,-22.116,14.2845,14.92,70,100,3.58,NA,1634582264
71,Nampa,43.5407,-116.5635,17.84,43,1,2.06,US,1634582002
72,Lopukhiv,48.3653,23.9638,5.58,93,97,0.57,UA,1634582265
73,Tuktoyaktuk,69.4541,-133.0374,-6.0,93,90,5.66,CA,1634582265
74,Beberibe,-4.1797,-38.1306,30.02,67,61,5.51,BR,1634582265
75,Severo-Kuril'sk,50.6789,156.125,3.33,72,88,9.05,RU,1634582266
76,East London,-33.0153,27.9116,12.52,76,0,1.03,ZA,1634582266
77,Palauig,15.435,119.9045,26.87,75,51,1.43,PH,1634582267
78,Eloy,32.7559,-111.5548,29.18,36,0,7.66,US,1634582267
79,City of San Pedro,14.35,121.0167,25.75,88,20,1.03,PH,1634582261
80,Salalah,17.0151,54.0924,26.05,89,0,1.54,OM,1634582268
81,Lorengau,-2.0226,147.2712,27.83,78,27,4.47,PG,1634582268
82,Hermanus,-34.4187,19.2345,15.5,69,0,4.93,ZA,1634582269
83,Aklavik,68.2191,-135.0107,-5.54,80,100,1.89,CA,1634582269
84,Jamestown,42.097,-79.2353,13.62,58,40,4.02,US,1634582269
85,Saint George,37.1041,-113.5841,22.26,24,20,5.36,US,1634582270
86,Cherskiy,68.75,161.3,-20.91,99,23,4.04,RU,1634582270
87,Longyearbyen,78.2186,15.6401,-7.09,73,75,4.12,SJ,1634582270
88,Kapaa,22.0752,-159.319,25.99,79,40,1.79,US,1634582271
89,Turaif,31.6725,38.6637,20.14,56,0,3.09,SA,1634582271
90,Castro,-24.7911,-50.0119,14.43,95,100,2.3,BR,1634582271
91,Pisco,-13.7,-76.2167,19.45,82,62,4.12,PE,1634582272
92,Ostrovnoy,68.0531,39.5131,3.47,81,100,13.06,RU,1634582272
93,Buchanan,5.8808,-10.0467,28.98,83,30,3.91,LR,1634582272
94,Avarua,-21.2078,-159.775,23.03,88,75,3.09,CK,1634582273
95,Waipawa,-41.4122,175.5153,12.24,71,0,6.22,NZ,1634582273
96,Hilo,19.7297,-155.09,24.89,81,75,3.09,US,1634582255
97,Baruun-Urt,46.6806,113.2792,-3.01,57,0,3.13,MN,1634582273
98,Iqaluit,63.7506,-68.5145,1.85,87,75,8.05,CA,1634582274
99,Carnarvon,-24.8667,113.6333,24.04,73,90,12.35,AU,1634582274
100,Hienghène,-20.6833,164.9333,22.16,92,100,2.74,NC,1634582274
101,Lakes Entrance,-37.8811,147.981,9.76,93,33,4.18,AU,1634582275
102,Nikolskoye,59.7035,30.7861,4.94,93,12,2.69,RU,1634582275
103,Ilhabela,-23.7781,-45.3581,19.41,96,100,3.61,BR,1634582275
104,Vila Velha,-20.3297,-40.2925,23.97,83,75,5.66,BR,1634582276
105,Manzhouli,49.6,117.4333,-3.86,79,4,3.09,CN,1634582276
106,Talnakh,69.4865,88.3972,1.34,99,100,7.11,RU,1634582276
107,Luanda,-8.8368,13.2343,23.72,80,18,5.28,AO,1634582277
108,Sfântu Gheorghe,45.8667,25.7833,8.29,79,100,1.36,RO,1634582126
109,Leningradskiy,69.3833,178.4167,-15.15,93,100,1.39,RU,1634582277
110,Hamilton,39.1834,-84.5333,21.71,42,1,1.34,US,1634581759
111,Broken Hill,-31.95,141.4333,14.84,51,0,6.17,AU,1634582278
112,Cestas,44.7435,-0.6791,19.96,70,0,0.45,FR,1634582278
113,Qaanaaq,77.484,-69.3632,-2.6,69,100,5.21,GL,1634582278
114,Hay River,60.8156,-115.7999,-0.01,80,20,3.6,CA,1634582279
115,Erzin,36.9559,36.2,19.29,82,46,2.15,TR,1634582279
116,Torbay,47.6666,-52.7314,7.93,89,75,9.77,CA,1634582279
117,Shashi,30.3072,112.2447,11.76,72,100,0.23,CN,1634582280
118,Dutlwe,-23.9833,23.9,19.58,49,45,6.27,BW,1634582280
119,Sapa,5.1544,120.3241,27.42,79,100,0.54,PH,1634582280
120,Laramie,41.3114,-105.5911,17.31,23,1,2.24,US,1634582033
121,Kaz,52.9113,87.3105,1.94,88,3,0.98,RU,1634582281
122,Hong Kong,22.2855,114.1577,24.99,77,100,0.45,HK,1634582054
123,Deputatsky,69.3,139.9,-26.95,98,37,1.94,RU,1634582281
124,Dikson,73.5069,80.5464,-0.41,99,100,4.09,RU,1634582282
125,Palmer,42.1584,-72.3287,15.94,52,90,1.34,US,1634582283
126,Sydney Mines,46.2367,-60.2177,17.67,82,75,1.79,CA,1634582283
127,Aniva,46.7144,142.5294,0.06,73,92,5.11,RU,1634582284
128,Bauchi,10.5,10.0,26.13,64,100,1.76,NG,1634582284
129,Souillac,-20.5167,57.5167,23.53,78,75,5.66,MU,1634582284
130,Narsaq,60.9167,-46.05,4.12,38,3,1.47,GL,1634582285
131,Tasiilaq,65.6145,-37.6368,1.09,51,100,1.78,GL,1634582285
132,Mlandizi,-6.7,38.7333,25.14,87,65,2.07,TZ,1634582286
133,Arman',59.7,150.1667,-11.12,50,1,3.94,RU,1634582286
134,Isla Vista,34.4133,-119.861,22.6,46,20,2.06,US,1634582286
135,Mgandu,-5.95,34.1333,21.83,55,97,4.35,TZ,1634582287
136,Codrington,-38.2667,141.9667,8.54,87,31,3.16,AU,1634582287
137,Okhotsk,59.3833,143.3,-12.22,71,0,7.61,RU,1634582287
138,Dingle,10.9995,122.6711,24.97,94,66,2.91,PH,1634582288
139,Bambous Virieux,-20.3428,57.7575,23.45,78,75,5.66,MU,1634582288
140,Shorewood,41.52,-88.2017,23.24,41,1,2.06,US,1634582288
141,Klaksvík,62.2266,-6.589,9.51,95,100,16.23,FO,1634582289
142,El Salvador,13.8333,-88.9167,28.02,59,100,0.46,SV,1634582163
143,Menongue,-14.6585,17.691,20.98,60,86,1.64,AO,1634582289
144,Mpanda,-6.3655,31.0409,22.68,74,89,1.73,TZ,1634582289
145,Dalnerechensk,45.9339,133.7225,-6.4,93,14,1.31,RU,1634582290
146,Benguela,-12.5763,13.4055,23.87,78,43,1.75,AO,1634582290
147,Wanning,18.8003,110.3967,25.51,91,85,4.93,CN,1634582290
148,Caravelas,-17.7125,-39.2481,26.64,70,22,4.68,BR,1634582291
149,Hofn,64.2539,-15.2082,9.01,81,90,8.23,IS,1634582291
150,Marawi,7.9986,124.2928,19.8,94,51,0.9,PH,1634582291
151,Mikhaylovka,50.06,43.2379,7.54,57,92,3.05,RU,1634582292
152,Ferrol,43.4832,-8.2369,21.29,84,75,2.43,ES,1634582093
153,Mar del Plata,-38.0023,-57.5575,15.01,43,0,3.58,AR,1634582292
154,Jalu,29.0331,21.5482,23.25,33,7,4.51,LY,1634582293
155,Ribeira Grande,38.5167,-28.7,21.22,68,20,9.26,PT,1634582293
156,Salamanca,40.8333,-6.0,20.9,69,100,1.21,ES,1634582293
157,Baiyin,36.5583,104.2081,7.49,37,100,1.69,CN,1634582294
158,Praia,14.9215,-23.5087,31.3,42,0,4.63,CV,1634582294
159,Paamiut,61.994,-49.6678,1.5,41,0,4.23,GL,1634582294
160,Laguna,38.421,-121.4238,16.73,62,1,0.89,US,1634582295
161,Pampa,35.5362,-100.9599,25.04,33,1,9.77,US,1634582148
162,Bluff,-46.6,168.3333,7.54,84,100,8.49,NZ,1634582295
163,Turukhansk,65.8167,87.9833,2.81,98,100,6.08,RU,1634582296
164,Yellowknife,62.456,-114.3525,1.34,81,75,5.14,CA,1634582161
165,Djibouti,11.5,42.5,27.68,55,68,4.13,DJ,1634582296
166,Lüderitz,-26.6481,15.1594,23.6,24,100,7.62,NA,1634582296
167,Tiksi,71.6872,128.8694,-8.59,91,100,5.21,RU,1634582297
168,Hithadhoo,-0.6,73.0833,27.76,72,100,3.44,MV,1634582297
169,Kumluca,36.3703,30.2869,21.34,48,100,2.58,TR,1634582297
170,Hailey,43.5196,-114.3153,11.61,41,75,2.06,US,1634582027
171,Melbu,68.5044,14.8297,0.88,93,20,1.54,NO,1634582298
172,Karpathos,35.507,27.2132,19.98,73,40,10.8,GR,1634582298
173,That Phanom,16.9364,104.7104,20.7,90,100,1.36,TH,1634582299
174,Prince Rupert,54.3161,-130.3201,7.83,70,1,1.54,CA,1634582014
175,Marsá Maţrūḩ,31.3525,27.2453,23.11,64,20,4.12,EG,1634582299
176,Xingyi,24.1877,102.817,12.15,98,33,1.4,CN,1634582299
177,Sistranda,63.7256,8.834,4.39,70,100,9.5,NO,1634582300
178,Butaritari,3.0707,172.7902,27.37,70,11,4.02,KI,1634582300
179,Rongcheng,30.634,117.8517,11.02,91,15,0.36,CN,1634582301
180,Grenville,12.1167,-61.6167,29.03,74,59,3.27,GD,1634582301
181,Calabozo,8.9242,-67.4293,31.6,57,97,1.41,VE,1634582301
182,Bushehr,28.9684,50.8385,30.05,42,0,10.8,IR,1634582302
183,Kavieng,-2.5744,150.7967,28.02,77,15,5.95,PG,1634582302
184,Nemuro,43.3236,145.575,8.73,59,6,3.64,JP,1634582302
185,Honiara,-9.4333,159.95,25.0,88,8,1.12,SB,1634582303
186,Sept-Îles,50.2001,-66.3821,10.59,92,90,1.79,CA,1634582303
187,Thinadhoo,0.5333,72.9333,28.05,72,96,4.7,MV,1634582303
188,Cabo San Lucas,22.8909,-109.9124,32.56,61,1,6.69,MX,1634582304
189,Athani,16.7333,75.0667,21.86,86,5,3.67,IN,1634582304
190,Olafsvik,64.8945,-23.7142,4.6,92,100,14.98,IS,1634582304
191,North Bend,43.4065,-124.2243,13.86,96,90,2.57,US,1634582305
192,Atambua,-9.1061,124.8925,24.69,86,100,0.61,ID,1634582305
193,Voyvozh,62.892,54.9635,-0.36,88,97,2.0,RU,1634582305
194,Necochea,-38.5473,-58.7368,16.71,47,4,2.52,AR,1634582306
195,Montería,8.748,-75.8814,30.13,68,87,1.12,CO,1634582306
196,Tarakan,3.3,117.6333,26.88,81,99,1.73,ID,1634582306
197,La Asuncion,11.0333,-63.8628,29.78,66,7,3.88,VE,1634582307
198,Fortuna,40.5982,-124.1573,13.04,70,90,0.45,US,1634582307
199,Muroto-misakicho,33.2833,134.15,18.52,64,60,3.19,JP,1634582307
200,Rum,47.2978,11.4346,6.98,80,100,1.03,AT,1634582308
201,Castaños,26.7833,-101.4167,25.19,34,1,2.06,MX,1634582308
202,Conceição do Araguaia,-8.2578,-49.2647,35.55,35,84,3.17,BR,1634582308
203,Faya,18.3851,42.4509,20.06,23,6,3.73,SA,1634582309
204,Lata,40.1629,-8.3327,20.58,79,100,0.19,PT,1634582309
205,Yangi Marg`ilon,40.4272,71.7189,11.68,62,28,2.06,UZ,1634582309
206,Airai,-8.9266,125.4092,17.02,88,54,0.63,TL,1634582310
207,Maragogi,-9.0122,-35.2225,26.9,74,100,4.33,BR,1634582310
208,Nanortalik,60.1432,-45.2371,0.21,73,41,7.58,GL,1634582310
209,Kahului,20.8947,-156.47,26.09,75,20,6.17,US,1634582171
210,Erdenet,49.0333,104.0833,-1.46,57,85,1.44,MN,1634582311
211,Hirara,24.8,125.2833,25.07,71,86,4.07,JP,1634582311
212,Kaitangata,-46.2817,169.8464,6.08,95,100,4.73,NZ,1634582312
213,Cabra,37.4725,-4.4421,24.69,51,99,1.57,ES,1634582312
214,Santa Cruz de Barahona,18.2085,-71.1008,31.9,74,40,6.17,DO,1634582312
215,La Santisima Trinidad,-14.8333,-64.9,33.99,49,20,3.09,BO,1634582313
216,Esim,4.8699,-2.2405,25.71,84,100,3.83,GH,1634582313
217,Kabanjahe,3.1001,98.4908,19.42,93,100,0.69,ID,1634582313
218,Norman Wells,65.282,-126.8329,-4.98,93,75,4.63,CA,1634582314
219,Chernyshevskiy,63.0128,112.4714,0.44,92,100,3.83,RU,1634582314
220,New Norfolk,-42.7826,147.0587,8.72,77,99,1.79,AU,1634582314
221,Aykhal,66.0,111.5,-2.72,94,84,8.31,RU,1634582315
222,Vanimo,-2.6741,141.3028,25.58,89,66,2.66,PG,1634582315
223,Konëvo,62.1215,39.3192,1.54,96,100,2.46,RU,1634582315
224,Dondo,-19.6094,34.7431,23.01,85,77,5.93,MZ,1634582316
225,Edgewater,28.9889,-80.9023,29.03,47,40,4.12,US,1634582316
226,Ozinki,51.1786,49.6769,11.74,81,100,2.32,RU,1634582317
227,Disna,55.568,28.1971,3.63,76,16,4.86,BY,1634582317
228,Ilulissat,69.2167,-51.1,-0.99,21,75,9.77,GL,1634582317
229,Berlevåg,70.8578,29.0864,1.0,80,40,8.75,NO,1634582318
230,Kiryat Gat,31.61,34.7642,22.38,100,1,2.06,IL,1634582318
231,Araouane,18.9048,-3.5265,31.88,10,6,5.04,ML,1634582319
232,Morehead,37.2711,-87.1764,22.39,35,1,2.68,US,1634582319
233,Naro-Fominsk,55.3875,36.7331,3.45,84,12,3.64,RU,1634582319
234,Jieshi,22.8134,115.8257,22.75,80,91,4.01,CN,1634582320
235,Maiduguri,11.8464,13.1603,30.49,35,42,3.24,NG,1634582320
236,Upernavik,72.7868,-56.1549,-2.48,46,100,2.31,GL,1634582320
237,Villa Carlos Paz,-31.4241,-64.4978,25.22,45,78,4.92,AR,1634582253
238,Beringovskiy,63.05,179.3167,1.25,95,68,4.26,RU,1634582321
239,Silver City,32.7701,-108.2803,20.93,30,1,3.58,US,1634582321
240,Kyshtovka,56.555,76.6271,4.84,79,100,2.97,RU,1634582322
241,Monrovia,6.3005,-10.7969,28.87,81,6,4.52,LR,1634582322
242,Spornoye,50.8448,37.2913,8.01,67,100,4.4,RU,1634582322
243,Spring Valley,36.108,-115.245,19.02,38,40,0.45,US,1634582323
244,Dombarovskiy,50.7587,59.5386,10.93,33,100,4.83,RU,1634582323
245,Nador,35.174,-2.9287,21.04,88,20,3.09,MA,1634582324
246,Tiznit Province,29.5833,-9.5,23.53,35,0,1.15,MA,1634582324
247,São Filipe,14.8961,-24.4956,26.84,73,6,3.12,CV,1634582324
248,Bentiu,9.2333,29.8333,27.06,60,20,1.73,SS,1634582324
249,Saskylakh,71.9167,114.0833,-4.02,98,100,1.65,RU,1634582325
250,Denia,38.8408,0.1057,22.64,78,97,2.76,ES,1634582325
251,Cuamba,-14.8031,36.5372,28.1,40,100,3.26,MZ,1634582326
252,Morros,-9.4467,-46.3003,31.39,39,100,3.52,BR,1634582326
253,Shenkursk,62.1091,42.896,1.73,97,100,1.66,RU,1634582326
254,Komsomol'skoye,55.2567,47.5461,6.7,68,100,6.02,RU,1634582327
255,Inhambane,-23.865,35.3833,19.99,77,75,7.72,MZ,1634582327
256,Tremembé,-22.9583,-45.5494,19.2,94,90,1.54,BR,1634582327
257,Manoel Urbano,-8.8389,-69.2597,29.85,69,61,0.76,BR,1634582328
258,Margate,51.3813,1.3862,16.28,88,100,0.89,GB,1634582328
259,Guerrero Negro,27.9769,-114.0611,21.55,57,0,7.3,MX,1634582328
260,Husavik,66.0449,-17.3389,2.95,98,100,2.81,IS,1634582329
261,Saint-Philippe,-21.3585,55.7679,22.77,81,42,6.88,RE,1634582329
262,Pangnirtung,66.1451,-65.7125,1.0,75,75,2.06,CA,1634582329
263,San Buenaventura,27.0833,-101.5333,26.93,49,1,2.06,MX,1634582330
264,Shimoda,34.6667,138.95,13.39,84,100,8.33,JP,1634582330
265,Kachug,53.9606,105.8817,-2.52,65,2,0.41,RU,1634582330
266,Yumen,40.2833,97.2,7.11,26,100,6.66,CN,1634582331
267,Rundu,-17.9333,19.7667,24.19,14,1,3.19,NA,1634582067
268,Tuy Hoa,13.0833,109.3,25.48,90,100,1.0,VN,1634582275
269,Buala,-8.145,159.5921,26.25,82,5,1.54,SB,1634582331
270,Yeniseysk,58.4497,92.1703,0.16,94,24,1.67,RU,1634582332
271,San Policarpo,12.1791,125.5072,27.47,82,26,2.34,PH,1634582332
272,Bilma,18.6853,12.9164,32.55,13,100,3.12,NE,1634582332
